year,month,day_of_month,day_of_week,fl_date,origin,origin_city_name,origin_state_nm,dep_time,taxi_out,wheels_off,wheels_on,taxi_in,cancelled,air_time,distance,weather_delay,late_aircraft_delay
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,838.0,39.0,917.0,1120.0,5.0,0,123.0,919,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1118.0,12.0,1130.0,1334.0,3.0,0,124.0,919,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,900.0,15.0,915.0,1054.0,19.0,0,159.0,1121,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2042.0,13.0,2055.0,2253.0,7.0,0,238.0,1709,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1511.0,21.0,1532.0,1712.0,14.0,0,160.0,1121,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2247.0,21.0,2308.0,206.0,6.0,0,118.0,1045,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,812.0,18.0,830.0,1005.0,9.0,0,95.0,650,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,947.0,23.0,1010.0,1054.0,3.0,0,44.0,204,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1515.0,10.0,1525.0,1605.0,7.0,0,40.0,192,0,15
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1001.0,26.0,1027.0,1104.0,8.0,0,37.0,192,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2237.0,20.0,2257.0,2335.0,4.0,0,38.0,204,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2102.0,20.0,2122.0,2332.0,8.0,0,130.0,910,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,825.0,12.0,837.0,1054.0,29.0,0,257.0,1810,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2222.0,17.0,2239.0,101.0,5.0,0,142.0,1013,0,36
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1128.0,18.0,1146.0,1434.0,8.0,0,168.0,1258,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,843.0,29.0,912.0,1141.0,8.0,0,149.0,1085,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,928.0,15.0,943.0,1150.0,7.0,0,247.0,1709,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1247.0,30.0,1317.0,1355.0,9.0,0,38.0,192,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2015.0,28.0,2043.0,2313.0,3.0,0,150.0,1013,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1926.0,26.0,1952.0,2225.0,4.0,0,153.0,1089,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,844.0,27.0,911.0,1105.0,10.0,0,294.0,2174,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1547.0,14.0,1601.0,1837.0,8.0,0,276.0,1972,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1554.0,12.0,1606.0,1705.0,7.0,0,119.0,806,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2216.0,13.0,2229.0,15.0,10.0,0,166.0,1121,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1438.0,23.0,1501.0,1626.0,7.0,0,145.0,964,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,720.0,16.0,736.0,1036.0,5.0,0,300.0,1972,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1717.0,28.0,1745.0,1947.0,5.0,0,122.0,919,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2119.0,24.0,2143.0,10.0,10.0,0,147.0,1085,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,701.0,18.0,719.0,947.0,4.0,0,148.0,1096,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1607.0,16.0,1623.0,1836.0,4.0,0,133.0,1089,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1727.0,38.0,1805.0,2052.0,14.0,0,347.0,2585,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1716.0,25.0,1741.0,2005.0,6.0,0,144.0,1096,0,47
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1038.0,33.0,1111.0,1257.0,11.0,0,166.0,1121,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1130.0,15.0,1145.0,1405.0,7.0,0,140.0,1096,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,709.0,14.0,723.0,1018.0,7.0,0,355.0,2585,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1217.0,31.0,1248.0,1514.0,4.0,0,146.0,1096,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,2037.0,14.0,2051.0,2327.0,4.0,0,156.0,1096,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1921.0,25.0,1946.0,2132.0,14.0,0,166.0,1121,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,700.0,10.0,710.0,920.0,4.0,0,130.0,1013,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1809.0,25.0,1834.0,1915.0,22.0,0,41.0,192,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1511.0,8.0,1519.0,1708.0,8.0,0,169.0,1197,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,1701.0,13.0,1714.0,1902.0,13.0,0,168.0,1197,0,0
2024,1,1,1,2024-01-01,MIA,"Miami, FL",Florida,940.0,12.0,952.0,1138.0,8.0,0,166.0,1197,0,0
